,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
10,5,"SJ","R014.410"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",3,2/20/1996,650,926509361," speeding ","rain","dusk/dawn","wet","normal","D"," hit object ",2," car ","N"," on sr "," unk ",0,0," side of bridge beyond shoulder drivers left ","V1 left lane "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"s of 120",15,10,5,0
10,5,"SJ","R014.420"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",3,2/20/1996,720,926509361," speeding ","rain","day","wet","normal","D"," rear-end ",2," emerg. veh. ","N"," on sr "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopoped "," unk ",1,1,,
10,5,"SJ","R014.420"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",3,2/20/1996,720,926509361," speeding ","rain","day","wet","normal","D"," rear-end ",2," car ","N"," on sr "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",,,,
10,5,"SJ","R014.440"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",7,8/3/1996,1500,926608693," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," semi w/ trailer ","N"," on sr "," unk ",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","A unk ",1,1,,
10,5,"SJ","R014.440"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",7,8/3/1996,1500,926608693," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R014.460"," div. hwy ","F","J","Z",4,4,"RO","H"," n/a ","N",2,7/1/1996,2115,926512056," other than driver ","clear","dark w/lights ","dry","normal","D"," hit object ",1," car ","N"," on sr "," unk ",0,0," oth. obj on rd  int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.580"," div. hwy ","F","Q","G",3,4,"RO","H"," n/a ","N",1,1/21/1996,18,926512578," speeding ","rain","dark w/lights ","wet","normal","A"," head-on ",2," car ","N"," on sr "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," prev. collision  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.580"," div. hwy ","F","Q","G",3,4,"RO","H"," n/a ","N",1,1/21/1996,18,926512578," speeding ","rain","dark w/lights ","wet","normal","A"," head-on ",2," car ","S"," on sr "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk "," stopoped "," unk ",,,,
10,5,"SJ","R014.600"," div. hwy ","F","Q","G",3,3,"RO","H"," n/a ","N",4,2/21/1996,630,926509361," speeding ","rain","dark","wet","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.600"," div. hwy ","F","Q","G",3,3,"RO","H"," n/a ","N",4,2/21/1996,630,926509361," speeding ","rain","dark","wet","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R014.630"," div. hwy ","F","J","N",3,3,"RO","H"," n/a ","N",2,2/19/1996,1345,926513338," speeding ","rain","day","wet","normal","D"," other ",1," semi w/ 2 trailers ","N"," on sr "," unk ",0,0," no obj. involved  right lane "," rollover  right lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.680"," div. hwy ","F","J","N",3,3,"RO","H"," n/a ","N",6,6/7/1996,1920,926505841," imp. turn ","clear","day","dry","normal","A"," sideswipe ",3," pickup ","N"," on sr "," unk ",0,0,"V3 int. lanes "," guardrail  beyond shoulder drivers right ","V2 left lane "," n/a  n/a "," inattention  unk "," unsafe turn ","A unk ",1,1,,
10,5,"SJ","R014.680"," div. hwy ","F","J","N",3,3,"RO","H"," n/a ","N",6,6/7/1996,1920,926505841," imp. turn ","clear","day","dry","normal","A"," sideswipe ",3," car ","N"," on sr "," unk ",0,0," n/a  n/a ","V1 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R014.680"," div. hwy ","F","J","N",3,3,"RO","H"," n/a ","N",6,6/7/1996,1920,926505841," imp. turn ","clear","day","dry","normal","A"," sideswipe ",3," semi w/ trailer ","N"," on sr "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,5,"SJ","R014.710"," div. hwy ","F","J","N",3,3,"RO","H"," n/a ","N",5,4/11/1996,1530,926513385," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,5,"SJ","R014.710"," div. hwy ","F","J","N",3,3,"RO","H"," n/a ","N",5,4/11/1996,1530,926513385," other. viol. ","clear","day","dry","normal","D"," sideswipe ",2," car ","N"," on sr "," unk ",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," change lanes ","G unk ",,,,
10,5,"SJ","R014.920"," div. hwy ","F","J","N",3,3,"UI","H"," n/a ","N",1,1/21/1996,15,926512578," speeding ","rain","dark w/lights ","wet","normal","A"," hit object ",1," car ","N"," on sr "," unk ",0,0," side of bridge beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," left turn ","A unk ",1,1,,
