,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury ","fatal"
10,120,"SJ","R005.990","D","F","J","Z",2,2,"UO","H"," n/a ","E",6,7/18/1997,1825,926513881," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","E"," on sr. "," unk ",0,0,"V3 right lane ","V1 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R005.990","D","F","J","Z",2,2,"UO","H"," n/a ","E",6,7/18/1997,1825,926513881," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R000.730","D","F","K","Z",2,2,"RO","H"," n/a ","E",7,7/19/1997,1850,926505841," imp. turn ","clear","day","dry"," normal ","D"," hit obj. ",1," car ","E"," on sr. "," unk ",0,0," over embankment  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," off road ","G unk ",1,1,,
10,120,"SJ","R002.780","D","F","J","Z",2,2,"RO","H"," n/a ","W",3,7/22/1997,120,926514296," imp. turn ","clear"," dark ","dry"," normal ","D"," hit obj. ",1," car ","W"," on sr. "," unk ",0,1," over embankment  beyond shoulder drivers right "," roll-over beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," none  unk "," other ","A unk ",1,,1,
10,120,"SJ","R005.610","D","F","J","Z",2,2,"UI","H"," n/a ","E",4,7/30/1997,1610,926514292," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup ","E"," on sr. "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight ","C unk ",1,,1,
10,120,"SJ","R005.610","D","F","J","Z",2,2,"UI","H"," n/a ","E",4,7/30/1997,1610,926514292," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R000.830","D","F","K","Z",2,2,"RO","H"," n/a ","W",1,8/3/1997,1920,926513711," other than driver ","clear","day","dry"," normal ","D"," sideswipe ",2," car ","W"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R000.830","D","F","K","Z",2,2,"RO","H"," n/a ","W",1,8/3/1997,1920,926513711," other than driver ","clear","day","dry"," normal ","D"," sideswipe ",2," car ","W"," on sr. "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R003.620","D","F","J","Z",2,2,"UO","H"," n/a ","E",1,8/3/1997,145,926509277," dui ","clear"," dark w/lights ","dry"," normal ","D"," hit obj. ",1," car ","E"," on sr. "," unk ",0,0," light or signal pole  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," imp. turn  unk "," off road ","B unk ",1,1,,
10,120,"SJ","R005.510","D","F","J","Z",2,2,"UI","H"," n/a ","E",5,8/14/1997,1750,926513338," imp. turn ","clear","day","dry"," normal ","D"," sideswipe ",2," pickup ","E"," on sr. "," unk ",0,0,"V2 right shoulder "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," parked "," unk ",1,1,,
