,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
10,120,"SJ","R002.130",,,,,,,,"H"," n/a ","W"," wed ",4/22/1992,1019,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","W"," on sr. "," unk ",0,3,"V3 right lane ","V1 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R002.130",,,,,,,,"H"," n/a ","W"," wed ",4/22/1992,1019,926509277," speeding ","clear","day","dry"," normal ","D"," rear-end ",3," car ","W"," on sr. "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R002.340",,,,,,,,"H"," n/a ","W"," sun ",5/10/1992,200,926511351," speeding ","clear","dark","dry"," normal ","D"," rear-end ",2," car ","W"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R002.340",,,,,,,,"H"," n/a ","W"," sun ",5/10/1992,200,926511351," speeding ","clear","dark","dry"," normal ","D"," rear-end ",2," car ","W"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R003.370",,,,,,,,"H"," n/a ","W"," sun ",5/10/1992,1005,926510313," not driver ","clear","day","dry"," normal ","D"," hit object ",1," car ","W"," on sr. "," unk ",0,0," other obj. on rd  left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R001.800",,,,,,,,"H"," n/a ","E"," sun ",5/10/1992,1050,926510313," tailgating ","clear","day","dry"," normal ","D"," rear-end ",2," car ","E"," on sr. "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R001.800",,,,,,,,"H"," n/a ","E"," sun ",5/10/1992,1050,926510313," tailgating ","clear","day","dry"," normal ","D"," rear-end ",2," pickup ","E"," on sr. "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","T006.800",,,,,,,,"H"," n/a ","W"," mon ",5/25/1992,1145,926509665," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup w/trailer ","W"," on sr. "," unk ",0,0,"V2 interior lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a ","  stop & go  unk "," straight ","A unk ",1,1,,
10,120,"SJ","T006.800",,,,,,,,"H"," n/a ","W"," mon ",5/25/1992,1145,926509665," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup w/trailer ","W"," on sr. "," unk ",0,0,"V1 interior lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a ","  stop & go  unk "," stopped ","A unk ",,,,
10,120,"SJ","R004.910",,,,,,,,"H"," n/a ","W"," mon ",5/25/1992,1700,926508193," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup w/trailer ","W"," on sr. "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","A unk ",1,1,,
10,120,"SJ","R004.910",,,,,,,,"H"," n/a ","W"," mon ",5/25/1992,1700,926508193," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," semi ","W"," on sr. "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R004.810",,,,,,,,"H"," n/a ","E"," tue ",5/26/1992,1815,926508193," imp. turn ","clear","day","dry"," normal ","D"," hit object ",1," pickup ","E"," on sr. "," unk ",0,1," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk "," off road ","AI",1,,1,
10,120,"SJ","R001.850",,,,,,,,"H"," n/a ","W"," mon ",6/1/1992,840,926509361," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup ","W"," on sr. "," unk ",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," other viol.  unk "," straight ","G unk ",1,,1,
10,120,"SJ","R001.850",,,,,,,,"H"," n/a ","W"," mon ",6/1/1992,840,926509361," speeding ","clear","day","dry"," normal ","D"," rear-end ",2," pickup ","W"," on sr. "," unk ",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
