,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","S D","Total Accidents","PDO","Injury","Fatal",,,,,,,,,,,
10,5,"SJ","R014.380","D","F","J","Z",4,4,"UI","H"," n/a ","S","fri",1/10/1997,1015,926613217," speeding ","fog","day ","wet","normal","none","rearend",5,"car","S","on SR","unk",0,0,"V1 int. lanes ","V5 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.380","D","F","J","Z",4,4,"UI","H"," n/a ","S","fri",1/10/1997,1015,926613217," speeding ","fog","day ","wet","normal","none","rearend",5,"car","S","on SR","unk",0,1," n/a  n/a ","V4 int. lanes ","V5 int. lanes "," n/a  n/a "," speed  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.380","D","F","J","Z",4,4,"UI","H"," n/a ","S","fri",1/10/1997,1015,926613217," speeding ","fog","day ","wet","normal","none","rearend",5,"pickup","S","on SR","unk",0,0," n/a  n/a ","V3 int. lanes ","V5 int. lanes "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.380","D","F","J","Z",4,4,"UI","H"," n/a ","S","fri",1/10/1997,1015,926613217," speeding ","fog","day ","wet","normal","none","rearend",5,"semi","S","on SR","unk",0,0," n/a  n/a ","V3 int. lanes ","V4 int. lanes ","V2 int. lanes "," oth. viol.  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.990","D","F","Q","G",5,3,"UI","H"," n/a ","S","fri",1/10/1997,1039,926612256," speeding ","fog","day ","wet","normal","none","rearend",2,"semi w/1 trailer","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R012.990","D","F","Q","G",5,3,"UI","H"," n/a ","S","fri",1/10/1997,1039,926612256," speeding ","fog","day ","wet","normal","none","rearend",2,"pickup","S","on SR","unk",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.930","D","F","J","Z",5,5,"UI","H"," n/a ","S","fri",1/10/1997,1040,926612228," speeding ","fog","day ","wet","normal","none","rearend",3,"pickup","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," previous collision  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.930","D","F","J","Z",5,5,"UI","H"," n/a ","S","fri",1/10/1997,1040,926612228," speeding ","fog","day ","wet","normal","none","rearend",3,"pickup","S","on SR","unk",0,1,"V1 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," previous collision  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.930","D","F","J","Z",5,5,"UI","H"," n/a ","S","fri",1/10/1997,1040,926612228," speeding ","fog","day ","wet","normal","none","rearend",3,"semi w/1 trailer","S","on SR","unk",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," previous collision  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.320","D","F","J","Z",5,5,"UI","H"," n/a ","S","fri",1/10/1997,1045,926611776," speeding ","fog","day ","dry","normal","none","rearend",2,"pickup","S","on SR","unk",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.320","D","F","J","Z",5,5,"UI","H"," n/a ","S","fri",1/10/1997,1045,926611776," speeding ","fog","day ","dry","normal","none","rearend",2,"semi w/1 trailer","S","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.030","D","F","J","Z",5,4,"UI","H"," n/a ","S","sat",1/11/1997,1540,926606783," other viol. ","fog","day ","dry","normal","none","sideswipe",2,"pickup","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," lane change ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.030","D","F","J","Z",5,4,"UI","H"," n/a ","S","sat",1/11/1997,1540,926606783," other viol. ","fog","day ","dry","normal","none","sideswipe",2,"pickup","S","on SR","unk",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.338","D","F","J","Z",4,4,"UI","R",2,"S","sun",1/12/1997,1430,926513465," speeding ","cloudy","day ","wet","normal","none","t-bone",2,"car","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.338","D","F","J","Z",4,4,"UI","R",2,"S","sun",1/12/1997,1430,926513465," speeding ","cloudy","day ","wet","normal","none","t-bone",2,"car","S","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.090","D","F","J","Z",5,3,"UI","H"," n/a ","S","mon",1/13/1997,600,926611776," speeding ","clear","dark w/lights","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.090","D","F","J","Z",5,3,"UI","H"," n/a ","S","mon",1/13/1997,600,926611776," speeding ","clear","dark w/lights","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.990","D","F","Q","G",5,3,"UI","H"," n/a ","S","mon",1/13/1997,615,926612228," speeding ","clear","dark w/lights","dry","normal","none","rearend",3,"pickup","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," lane change ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R012.990","D","F","Q","G",5,3,"UI","H"," n/a ","S","mon",1/13/1997,615,926612228," speeding ","clear","dark w/lights","dry","normal","none","rearend",3,"car","S","on SR","unk",0,1,"V1 int. lanes ","V3 int. lanes "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.990","D","F","Q","G",5,3,"UI","H"," n/a ","S","mon",1/13/1997,615,926612228," speeding ","clear","dark w/lights","dry","normal","none","rearend",3,"car","S","on SR","unk",0,1," n/a  n/a ","V2 int. lanes "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.710","D","F","J","Z",5,5,"UI","H"," n/a ","S","mon",1/13/1997,635,926611776," speeding ","clear","dusk/dawn","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.710","D","F","J","Z",5,5,"UI","H"," n/a ","S","mon",1/13/1997,635,926611776," speeding ","clear","dusk/dawn","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.370","D","F","J","Z",4,4,"UI","H"," n/a ","N","thu",1/16/1997,2055,926505841," other viol. ","clear","dark","dry","normal","none","other",2,"car","N","on SR","unk",0,0,"V3 int. lanes ","V2 int. lanes "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.370","D","F","J","Z",4,4,"UI","H"," n/a ","N","thu",1/16/1997,2055,926505841," other viol. ","clear","dark","dry","normal","none","other",2,"pickup w/trailer","N","on SR","unk",0,0," n/a  n/a ","V1 int. lanes "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
